ID;Name;Latitude / Longitude;Adresse;Storetype;;;
2992594105;Carglass;6.799152/51.254408;Nˆrdlicher Zubringer 15;car_repair;;;
364080733;Susanne-Moden;6.895348/51.142352;None None;clothes;;;
670666759;Tally Weijl;6.784121/51.226614;Schadowstraﬂe 55;clothes;;;
1552087160;None;6.838066/51.208719;None None;newsagent;;;
1301263773;Netto Marken-Discount;6.779881/51.273400;Unterrather Straﬂe 106;supermarket;;;
4228201367;Titus D¸sseldorf Outlet;6.775389/51.223449;Kasernenstraﬂe 27;clothes;;;
5485362479;Hairlich;6.734213/51.299812;An Sankt Swidbert 42;hairdresser;;;
1555552396;÷koMa - ÷kologische Marktwirtschaft GmbH;6.808832/51.212073;Heerstraﬂe 19;convenience;;;
2992594106;Esso;6.796601/51.261002;Nˆrdlicher Zubringer 151;yes;;;
364080736;Sanit‰tshaus Rehatechnik Rhein-Ruhr;6.895631/51.142946;Kurt-Schumacher-Straﬂe 2;medical_supply;;;
1302476354;Top Fashion;6.837061/51.201580;None None;boutique;;;
5485381346;Reformhaus Goll;6.738459/51.300989;Klemensplatz 1;health_food;;;
364789225;Aldi S¸d;6.755202/51.259383;Kaiserswerther Straﬂe 409;supermarket;;;
670666760;Orsay;6.784001/51.226582;Schadowstraﬂe 53;clothes;;;
1302476364;Rusch Callshop;6.837030/51.201627;None None;mobile_phone;;;
1555724122;Rewe;6.818404/51.186475;Kˆlner Landstraﬂe 211;supermarket;;;
3003116405;Shell Station Gˆller Tankstellen GmbH;6.772383/51.280423;Kieshecker Weg 256;convenience;;;
4241054393;Haarkonzept Elena Breuer;6.759487/51.229215;Markgrafenstraﬂe 28;hairdresser;;;
5485487352;Globus;6.789676/51.219742;None None;erotic;;;
364812649;Mayersche;6.779883/51.225395;Kˆnigsallee 18;books;;;
1556870718;Sticherling;6.875685/51.154623;None None;pastry;;;
4250097955;Per¸ckenfachgesch‰ft Wellkamm;6.786078/51.246158;Rheinbabenstraﬂe 5;wigs;;;
1302481305;Kiosk;6.843922/51.199514;None None;newsagent;;;
3003961289;Rossmann;6.783732/51.218529;Karl-Rudolf-Straﬂe 172;chemist;;;
5485487353;Beate Uhse;6.788778/51.219262;None None;erotic;;;
670666761;Fielmann;6.784570/51.226769;Schadowstraﬂe 63;optician;;;
1304533056;EuroShop;6.839870/51.201096;None None;variety_store;;;
1557900064;None;6.797333/51.197072;None None;florist;;;
670666762;None;6.784671/51.226800;Schadowstraﬂe 65;vacant;;;
1305192825;Blumen Schneider;6.873370/51.173065;None None;florist;;;
4250693226;BAUEN+LEBEN Baufachhandel;6.854537/51.202161;Am Kleinforst 5;doityourself;;;
3008382933;B‰ckerei B¸sch;6.773577/51.202738;Suitbertusstraﬂe 127;bakery;;;
5485487354;Erdbeermund;6.787548/51.218862;None None;erotic;;;
364812650;Esprit;6.780910/51.225744;Schadowstraﬂe 17-21;clothes;;;
1557947141;Qnootsch;6.756416/51.231368;None None;gift;;;
4250912886;Wilhelm Schafhausen und Sˆhne;6.830976/51.207829;None None;funeral_directors;;;
670666763;Deichmann;6.784896/51.226871;Schadowstraﬂe 67;shoes;;;
1305739249;Hair by Adeline;6.843854/51.199553;None None;hairdresser;;;
4252706881;Optik Blankenburg;6.832592/51.206574;None None;optician;;;
1305739280;Karibik Sonnenstudio;6.843171/51.200070;Gumbertstraﬂe 185;beauty;;;
1558183829;Deichmann;6.813311/51.263610;Westfalenstraﬂe 24-26;shoes;;;
3009214627;W‰scherei Rheingold Texil GmbH;6.794393/51.260400;Vogelsanger Weg 159;laundry;;;
5485487355;Globus;6.783013/51.218679;None None;erotic;;;
365178568;Bosch Service;6.805866/51.215704;None None;car_repair;;;
4252763956;fairhaus;6.835978/51.203224;None None;second_hand;;;
670666764;Rossmann;6.785354/51.227010;Schadowstraﬂe 73;chemist;;;
4254830873;Lierenfelder Gl¸ckstreff;6.829696/51.208491;Kempgensweg 81;newsagent;;;
365179817;Kamps;6.808686/51.231533;None None;bakery;;;
1305739301;il panino;6.843086/51.199873;Gumbertstraﬂe 176;bakery;;;
3016572074;Lotusblume Thaimassage;6.789128/51.213264;H¸ttenstraﬂe 97 a;massage;;;
5487220230;Swatch;6.781000/51.226544;None None;watches;;;
1558317167;None;6.856800/51.178094;Henkelstraﬂe 276;hairdresser;;;
365179832;Terbuyken;6.808433/51.232022;None None;bakery;;;
4258204553;Call Shop;6.829929/51.208261;None None;communication;;;
670666765;New Yorker;6.785191/51.226958;Schadowstraﬂe 71;clothes;;;
1558475750;Blumen-Boden;6.762171/51.263633;None None;florist;;;
5497632657;Edeka Zurheide Center D¸sseldorf;6.782590/51.219473;Berliner Allee 52;supermarket;;;
1305741790;Ernsting's family;6.840162/51.200962;None None;clothes;;;
4258453193;Autotechnik Alpha;6.831881/51.207173;Reisholzer Straﬂe 42;car_repair;;;
3018125548;Olivers Hair;6.776965/51.214952;None None;hairdresser;;;
1558648728;B‰ckerei Christophel;6.739596/51.236825;None None;bakery;;;
365179846;Phoenix;6.808776/51.231414;None None;florist;;;
3025763555;None;6.792120/51.227838;Kˆlner Straﬂe 11;shoemaker;;;
4258497740;hairstyle by m.conti;6.833297/51.206175;Am Hackenbruch 21;hairdresser;;;
5500784356;Nahkauf;6.741149/51.322972;Kalkstraﬂe 26b;supermarket;;;
670666766;dm;6.794579/51.219303;None None;chemist;;;
1306131939;Deja Vu;6.834345/51.204140;None None;hairdresser;;;
3025763556;None;6.792057/51.227894;Kˆlner Straﬂe 9;tattoo;;;
1558648730;Kr‰mer's B¸dchen;6.739430/51.236768;None None;convenience;;;
5516178722;Biermanufaktur Sarton;6.780953/51.209038;Weberstraﬂe 32a;beverages;;;
365403077;Netto;6.746345/51.318905;Hermann-Schauten-Weg 22;supermarket;;;
1306131941;Optik Akustik Engelmann & Hob√©;6.832021/51.206692;Reisholzer Straﬂe 49;optician;;;
4258500443;Tufan;6.833232/51.205843;Zeppelinstraﬂe 50;convenience;;;
3033223789;None;6.779068/51.236528;None None;vacant;;;
670666768;Kamps;6.794109/51.219477;None None;bakery;;;
1306131942;Hundesalon;6.841290/51.199187;Gertrudisstraﬂe 2;pet;;;
1560171716;Aldi;6.746039/51.232558;Hansaallee 10;supermarket;;;
368883651;Rewe City;6.799517/51.237880;Rethelstraﬂe 135-137;supermarket;;;
4258501590;None;6.833369/51.206191;None None;convenience;;;
5517994557;Tesla;6.852791/51.164300;Bonner Straﬂe 343-345;car;;;
369377056;A la casa del fiore;6.863689/51.224228;None None;florist;;;
670666772;Parf¸merie Becker;6.793250/51.219883;None None;perfumery;;;
3041609409;Kleiderkur;6.789533/51.236519;Derendorfer Straﬂe 17;dry_cleaning;;;
4258739949;Sonias Damensalon;6.828944/51.209728;Gatherweg 93;hairdresser;;;
670942120;Le Crobag;6.794375/51.218973;None None;bakery;;;
1306132639;Reiseservice Frank Hille;6.844024/51.199444;None None;travel_agency;;;
1560249374;Puppe;6.755165/51.235492;Oberkasseler Straﬂe 164;bakery;;;
1306138352;90 60 30;6.835837/51.203314;None None;laundry;;;
3047868385;VW Audi Clemens;6.793595/51.287241;None None;car;;;
5523619508;Holzboden-direkt;6.810743/51.232147;Grafenberger Allee 157;wood;;;
369377061;Terbuyken;6.863441/51.224523;Heyestraﬂe 40;bakery;;;
4258774973;ay yildiz;6.830625/51.207660;None None;mobile_phone;;;
672489775;None;6.801278/51.228738;None None;kiosk;;;
3050914042;Hollmann Buch & Presse;6.763495/51.279702;None None;books;;;
1560342183;Oehme;6.727646/51.240880;None None;bakery;;;
4258889918;Sun-Inn;6.829809/51.208789;None None;beauty;;;
5525388922;MRO Auto Elektrik;6.862958/51.162336;None None;car_repair;;;
1306148133;Zeeman;6.835977/51.202858;Gumbertstraﬂe 90;department_store;;;
3052238114;Rossmann;6.818982/51.226881;Gauﬂstraﬂe 22-24;chemist;;;
4259569379;Stadtb‰cker;6.896642/51.143405;Koblenzer Straﬂe 247;bakery;;;
5534833903;Taxi-D¸sseldorf e. G. Werkstatt;6.810392/51.209453;Kˆlner Straﬂe 356;car_repair;;;
369377063;TEDi;6.863357/51.224607;None None;variety_store;;;
672489779;Grefges;6.805531/51.226823;Birkenstraﬂe 85;butcher;;;
1306148147;Smokin' Joe;6.836555/51.202662;Gumbertstraﬂe 95;e-cigarette;;;
1560342203;Netto;6.727632/51.241037;None None;supermarket;;;
1560400137;B‰ckerei Oehme;6.733658/51.238055;Hansaallee 105a;bakery;;;
5536383108;Taxi-D¸sseldorf e. G. Mercedes Benz Werkstatt;6.810392/51.209453;None None;car_repair;;;
369377070;Rewe;6.862755/51.224951;Heyestraﬂe 128;supermarket;;;
1306886983;Rossmann;6.800934/51.238621;Rethelstraﬂe 162;chemist;;;
3057110957;Gut Gr¸tersaap;6.862803/51.268567;None None;farm;;;
5536437755;T & T Automobile;6.879989/51.145895;Urdenbacher Acker 35;car;;;
4260283701;Almina Reisen;6.829852/51.208361;None None;travel_agency;;;
672489780;KiK;6.805911/51.226826;Birkenstraﬂe 89;clothes;;;
4260283702;Feinschliff Tattoo;6.829768/51.208408;None None;tattoo;;;
1560610034;Heinrich Heine Antiquariat;6.770454/51.223378;Citadellstraﬂe 9;books;;;
369377078;Netto;6.862920/51.225519;None None;supermarket;;;
1306886996;Rossmann;6.779506/51.238352;Nordstraﬂe 58;chemist;;;
3064457377;None;6.781267/51.274014;None None;car_repair;;;
369377089;Huﬂels;6.862308/51.225827;None None;bakery;;;
5536454293;Taxi-D¸sseldorf e. G. Ersatzteillager;6.810615/51.209726;Kˆlner Straﬂe 356;car_parts;;;
3065122129;None;6.821124/51.237516;Grafenberger Allee 302;hairdresser;;;
673550532;CCC;6.784257/51.226650;Schadowstraﬂe 57;shoes;;;
4260960088;Tipster;6.830785/51.207528;None None;bookmaker;;;
5554995595;Autohaus Hansen;6.856129/51.225418;Karlsbader Straﬂe 12;car;;;
369377128;Der Getr‰nke Spezialist;6.859927/51.231582;Heyestraﬂe 44;kiosk;;;
1306887014;Rossmann;6.790014/51.227866;Am Wehrhahn 33;chemist;;;
1561336187;Edeka;6.794915/51.282521;None None;supermarket;;;
3065580144;Notebooks Billiger Store;6.808566/51.221184;Erkrather Straﬂe 162;computer;;;
4260960589;PS Getr‰nkehandel;6.829369/51.207085;None None;beverages;;;
4260960590;Prima Pesca;6.831042/51.207152;None None;seafood;;;
1561453925;Titus;6.773885/51.222951;None None;sports;;;
369377144;Studio 33;6.861427/51.235062;Kˆlner Tor 36;beauty;;;
673550541;Snipes;6.784780/51.226836;Schadowstraﬂe 65;shoes;;;
1306887022;Rossmann;6.787697/51.244640;M¸nsterstraﬂe 96;chemist;;;
5554995596;KFZ Reparaturen Schmitz & Sohn;6.855683/51.224829;Karlsbader Straﬂe 12;car_repair;;;
1561453960;None;6.773618/51.222921;Benrather Straﬂe 7b;vacant;;;
3065735030;Peugeot;6.821129/51.221034;Hˆherweg 191;car;;;
4262870486;K¸ster & Rˆmer;6.834049/51.204837;None None;funeral_directors;;;
673550543;Forever 21;6.785020/51.226921;Schadowstraﬂe 69;clothes;;;
5555007656;Bestattungen Dischleid;6.865614/51.233633;None None;funeral_directors;;;
369377157;Der Blumenladen;6.861472/51.235067;Kˆlner Tor 34;florist;;;
1306887033;Rossmann;6.864901/51.181447;Altenbr¸ckstraﬂe 15;chemist;;;
4262870488;Mein Frisˆr;6.834143/51.204749;None None;hairdresser;;;
5557476143;Tomys Thai Massage;6.880423/51.153625;Corellistraﬂe 6-8;massage;;;
3067669706;Boutique Highlights;6.809198/51.225225;Albertstraﬂe 113;boutique;;;
1561453977;Eis-Cafe Capri;6.772381/51.224085;Berger Straﬂe 29;convenience;;;
4262876395;Galaxy GmbH;6.834369/51.204570;None None;mobile_phone;;;
